campaign_id,source_minimum,family,geometry_sha256,result_sha256,total_energy_hartree,electronic_energy_hartree,d3_energy_hartree,global_force_rms_kcal_mol_a,sulfur_local_force_rms_kcal_mol_a,sulfur_atom_force_norm_kcal_mol_a,sulfur_force_projection_sc_kcal_mol_a,sulfur_force_projection_sh_kcal_mol_a,d3_global_gradient_rms_kcal_mol_a,d3_local_gradient_rms_kcal_mol_a,sc_distance_a,sh_distance_a,c_s_h_angle_deg,phi_deg,psi_deg,scf_cycles,runtime_seconds
TSLRSH-GPU-031,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,97e0732c3a5f73a98d525a14d497da4268d308a443c1c056c4041bfe3f6ce926,d00c2b4d249489fd7ca95cf24e2c67791fde7c63e6259374e5eda141e8355a3c,-1477.9086619195375,-1477.8219631467673,-0.08669877277021154,8.768230009988685,23.104283808992488,33.062365720509284,0.8647801725366817,27.345720662155955,0.3272134673105704,0.45610977984262635,1.8563249820512295,1.3655758776835991,98.01122155092769,-60.848529070264625,-19.663076420015347,13,3.9620351530002154
TSLRSH-GPU-032,MIN02,FORCE_CLOUD_PERTURBATION,f55362fd507f2e4f3742dd9323c88d9b60805c5d75b6e268ec910048588dee55,4ef1fdd97a31790d821e2ae14cb7afc522595f26aa0b3faa98460301be4a87c9,-1477.8984944549582,-1477.8129491269592,-0.08554532799903397,21.601883617342455,23.17286743144059,5.8541629560619235,-5.6233036493982285,-0.07510426575546993,0.3246199241230826,0.46409821977723964,1.8412915721710947,1.3708516400938864,95.98888068040688,-53.941135684582186,-68.38967616552519,16,4.464525560000311
TSLRSH-GPU-033,MIN02,FORCE_CLOUD_PERTURBATION,c45c50d6d5504db3e2610cec78acdef8749101abceb969174d11744ed3ed313f,871aefbbcc610f3108944c2ab499634c11260560da49c03062f6d89b1ffe7f33,-1477.9146633430075,-1477.829035256898,-0.08562808610971744,17.210617589574095,18.037202601246424,6.378217587901647,2.3791654476326465,-5.941101525165644,0.3236645910744271,0.46630160071465443,1.8652515990934464,1.3478347406328886,94.64634903971628,-52.704767883417276,-67.49195611809807,14,4.203248435000205
TSLRSH-GPU-034,MIN02,FORCE_CLOUD_PERTURBATION,362bd994a06558289d357b411fe817ea2a4a370210860e270abbf2c158be815b,b14f5aba871222d3b52796c53455623a6e53e5f3ae391aef796adf91f43043db,-1477.9389228135983,-1477.8539198356416,-0.08500297795673765,2.112334680076198,0.9983409925733407,4.207132330875028,4.061882844848811,-0.8788126128160073,0.32292216976096866,0.4651503587499375,1.8682725218268663,1.3620331014633056,94.87072805768435,-54.331924871805576,-67.9953261947648,15,4.326188830999854
TSLRSH-GPU-035,MIN02,FORCE_CLOUD_PERTURBATION,7f1a3d06ed29e378216008b2b91b05028a4dcac2ad48ac5df46c5c39f4ef364f,90f483a0880bf2309e9d792091757b52dc668c4dbfa0b90f1722e5624ca7c067,-1477.9354458349978,-1477.8495320896245,-0.08591374537326915,3.637117851246716,9.522422128913819,38.38986187013713,-15.092773283020872,36.01051529569818,0.3273903977375694,0.4702152787193827,1.8390627713596417,1.3910741633102912,95.15851473486063,-44.50699265666234,-63.25765525325992,14,4.153881747000014
TSLRSH-GPU-036,MIN02,FORCE_CLOUD_PERTURBATION,68e4f5f77ca63bac048311124b8a479c446bf916a31b32d19f78fe599ec12941,6cf888479312fc63cd4dbaba3653ea79053925e7bc95f56836058050a739103f,-1477.9311765868147,-1477.846114893479,-0.08506169333587993,5.309612001608104,13.539851043886042,37.84317887846141,-3.672614028198524,-36.914875409562114,0.32105669218617683,0.4582268757468668,1.8321877714148105,1.3258889780700718,95.15851473283334,-65.90042473424792,-78.2068055577261,15,4.278185596000185
TSLRSH-GPU-037,MIN02,FORCE_CLOUD_PERTURBATION,84b660e903fc274c39e2a8075c538609beb9c2ca094e2453fcf5de9734924887,387a0c6507fac8058ff135c65a820c514c2e55d66e1a05ca9e50537eb4ed80ac,-1477.93480615027,-1477.8489517307776,-0.08585441949261649,4.359876033557619,11.45250803135747,33.39019338058701,2.78696119788574,-30.406433058214205,0.32434017928417197,0.4617291075475807,1.8940627713243687,1.3299630521131216,95.15851473552061,-41.9930890222706,-62.91276798371833,13,3.9227771519999806
TSLRSH-GPU-038,MIN02,FORCE_CLOUD_PERTURBATION,37b638d43acaea53656d16c81c1ce93c51648682ed65733e3bc1de30cddbc589,fe345e7b0d28b0f7535242166fd040956cfe9bde71733787b892c9c76aef34de,-1477.9291561631787,-1477.8441037696298,-0.08505239354889914,4.047829061331583,10.151780426880919,8.039059105664386,4.249831584328201,-7.083758176072601,0.3213322527519108,0.4598681371863258,1.8596877713629967,1.3870000891672525,95.15851473400889,-41.227732075550705,-78.42106686676294,16,4.535083253999801
TSLRSH-GPU-039,MIN02,OTHER_EXISTING_GEOMETRY,daf3f9a6d4a29ce3aa58bbab65273460fc94d075447f26239699c8557f6ae608,794fc7c269aec3039699fddeb1ad27248478777ea795fbc8c2fa21119fd22950,-1477.9242677199456,-1477.8400066327972,-0.08426108714843651,9.131769815608616,8.101272608532451,24.917267022234494,19.48296709613833,13.68546600290347,0.3191176851808695,0.4620089730523942,1.932177400757902,1.3852980442530898,94.7161293287495,-120.00004891225448,-65.1550499098291,15,4.276387653000256
TSLRSH-GPU-040,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,2780e505b546b370668427dd3c9e154ead5ddd1e375ae5e5027675b4f51546af,c117cecfe5d9b9eaa92c60918d084160dfd95c99f6e49af248b5aad66c28b871,-1477.9302798753638,-1477.8437978586458,-0.08648201671805722,4.440924024924134,11.467732879094253,25.558933270408946,-0.6214978578980721,21.986746224225307,0.32746736038211,0.46254023407499606,1.8572928787595608,1.3623279711653358,95.44355987004673,-60.11400296405345,-41.64117590131711,15,4.3236625280001135
