dimension,evidence_hash,molecule_id,calculation_type,protocol_key,acceptance,source_path,source_sha256
"QUANTUM","a76e86306b89b1b312cb2c91c8d9def2a627fe8d40022f2074c83e62bfc80a03","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-18/18_MIN04_S_ACCEPTOR_2.8/result.json","43c4615c81e9f28a714ee1d102ec9287abb4701c03c431984e60177364164252"
"QUANTUM","aa628cb9641a15eabe039e13461640375ae3299b7c0ddf48aa635c8039cde48d","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/qm-native-minima/MIN01/final.xyz","36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd"
"QUANTUM","ab9a104e69651274f98a4efa3bb7836454656d6c3eb320bc3e39f0c5031c2eae","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","GEOMETRY_INVALID","execution-unit-05O/vdw-probe-validation-aws/point-6/06_MIN01_SH_DONOR_2.8/result.json","6068308b5b2a23c022ee6c883ec5ca9323bbb8e3add960eeaae3e11674922643"
"QUANTUM","afad9b710ff99f3cedefceb736c6e2383c7e1dc2049f6494a2b83a01adcce481","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05F/dft-2d/phi060_psi+180.xyz","b89953272c173c699c41fb27e2d41b7231060a055992df4a9685019413f651a6"
"QUANTUM","b49b4b29cedce58763dd1aca678c513d1329752b62893f1a5e344ab27e0bb7ec","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","GEOMETRY_INVALID","execution-unit-05O/vdw-probe-validation-aws/point-15/15_MIN01_O3_ACCEPTOR_2.8/result.json","abe2759a6e4f0787e91b7bd7ec459db80f537d3b4e11d4036c5ca0745594f413"
"QUANTUM","b69bd4ce97828d5094fdd45e24b0fe5dc070be83525ae3957e4465f5a3d43fd9","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","EXCLUDED_BY_PROTOCOL","execution-unit-05O/vdw-probe-validation-aws/point-14/14_MIN01_O3_ACCEPTOR_2.1/geometry.xyz","6b905226edb57ad175abf827bb5e20efda8fe66d258f1675ff2e5b3682073dcc"
"QUANTUM","b7d8f1ec8909ebde6e21b292ab6c59c94c3f00b991cb2556a0d06095bd7173bc","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/replacement-sh-donor-qm-local/MIN02_SH_DONOR_2.8A/geometry.xyz","d4555caa21b05841ea253851a2d18e566daef09dc14ca633757d016d9ac688b6"
"QUANTUM","b8b834ecebf2e74f2c085371259e01aec818874c41aeaddaf4f8d4160aceff28","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05F/dft-2d/phi300_psi-060.xyz","7b6e5e1c82ebe92523d563b4969c548108930c89d7d2bb76115c7e19dd85daca"
"QUANTUM","b96c34b7e1bdef9ec8e08fe843050f09b424cfadd00f192b00625e75f47896d0","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05M/points/M-D04/final.xyz","3e0d8744ce4ee0809f5a3e330a935a5e10385093a5f197c32a80b97ff0378980"
"QUANTUM","ba8093740400ff2b673408cc9a649a7dead7af3bd30744f0298dec28c24f45b6","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|gas|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/electrostatic-diagnostics/MIN02/result.json","1c9ca455dbc2bb15f012a592d55ce4ae2f69fed556c1864616b1a4a59bb739bd"
