evaluation_id,axis,purpose,LOCAL_TYPE_1,LOCAL_TYPE_2,LOCAL_TYPE_7,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_30,profile_mse_kcal2_mol2,regularization,objective
EVAL_00084,PHI,optimization,0.20445855386823025,0.0,0.15,0.002,0.25,0.143,10.588079118121831,0.0011649354009046914,10.589244053522735
EVAL_00085,PHI,optimization,0.20445706999310787,0.0,0.15,0.0,0.25,0.143,10.551596179572064,0.0011896554509771083,10.552785835023041
EVAL_00086,PHI,optimization,0.20645706999310787,0.0,0.15,0.0,0.25,0.143,10.551519880812041,0.0012017285821760055,10.552721609394217
EVAL_00087,PHI,optimization,0.20445706999310787,0.0,0.15,0.002,0.25,0.143,10.588134559197618,0.0011649265620171081,10.589299485759636
EVAL_00088,PHI,optimization,0.20445706971356578,0.0,0.15,0.0,0.25,0.143,10.551596179572064,0.0011896554493119973,10.552785835021377
EVAL_00089,PHI,optimization,0.20645706971356578,0.0,0.15,0.0,0.25,0.143,10.551519880812041,0.001201728580466168,10.552721609392506
EVAL_00090,PHI,optimization,0.20445706971356578,0.0,0.15,0.002,0.25,0.143,10.588134559197618,0.0011649265603519974,10.58929948575797
EVAL_00091,PHI,optimization,0.2044570696662561,0.0,0.15,0.0,0.25,0.143,10.551596179572064,0.0011896554490301943,10.552785835021094
EVAL_00092,PHI,optimization,0.2064570696662561,0.0,0.15,0.0,0.25,0.143,10.551519880812041,0.0012017285801767953,10.552721609392218
EVAL_00093,PHI,optimization,0.2044570696662561,0.0,0.15,0.002,0.25,0.143,10.588134559197618,0.0011649265600701942,10.589299485757689
EVAL_00094,PHI,optimization,0.2044570696582536,0.0,0.15,0.0,0.25,0.143,10.551596179572064,0.0011896554489825267,10.552785835021046
EVAL_00095,PHI,optimization,0.2064570696582536,0.0,0.15,0.0,0.25,0.143,10.551519880812041,0.0012017285801278475,10.552721609392169
EVAL_00096,PHI,optimization,0.2044570696582536,0.0,0.15,0.002,0.25,0.143,10.588134559197618,0.0011649265600225268,10.58929948575764
EVAL_00097,PHI,optimization,0.23656988409621965,0.0,0.15,0.0,0.25,0.143,10.555376220935457,0.0014221868479500333,10.556798407783408
EVAL_00098,PHI,optimization,0.23856988409621965,0.0,0.15,0.0,0.25,0.143,10.555828663954351,0.0014393980294054285,10.557268061983757
