evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N1_PHASE0,PHI_N2_PHASE180,PSI_N1_PHASE0,equal_surface_profile_mse,regularization,objective
EVAL_00041,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007617171691156524,6.765191250027928,0.007677216014316432,6.772868466042245
EVAL_00042,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007617171691156524,6.766055924136592,0.007607282884033835,6.7736632070206255
EVAL_00043,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007617171691156524,6.770190463194193,0.007677376014316433,6.777867839208509
EVAL_00044,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617171691156525,6.765266207157491,0.007677560701184079,6.772943767858675
EVAL_00045,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007617171689997575,6.765191250027928,0.007677216014316256,6.772868466042244
EVAL_00046,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007617171689997575,6.766055924136592,0.007607282884033659,6.7736632070206255
EVAL_00047,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007617171689997575,6.770190463194193,0.007677376014316256,6.7778678392085085
EVAL_00048,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617171689997575,6.765266207157491,0.007677560701183856,6.772943767858674
EVAL_00049,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.006259389905048008,6.7652670140038085,0.007677027600890542,6.772944041604699
EVAL_00050,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.006259389905048008,6.76601820176915,0.007607094470607944,6.773625296239758
EVAL_00051,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.006259389905048008,6.770121078229661,0.0076771876008905416,6.777798265830551
EVAL_00052,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.008259389905048008,6.765273451906583,0.0076773179764867425,6.77295076988307
