axis,angle_degrees,qm_energy_hartree,candidate_id,archive_member,qm_energy_kcal_mol_absolute,mm_bond_kcal_mol_absolute,mm_angle_kcal_mol_absolute,mm_dihedral_kcal_mol_absolute,mm_imp_kcal_mol_absolute,mm_elec_kcal_mol_absolute,mm_vdw_kcal_mol_absolute,mm_elec_14_kcal_mol_absolute,mm_vdw_14_kcal_mol_absolute,mm_tot_kcal_mol_absolute,qm_relative_kcal_mol,mm_relative_kcal_mol,qm_minus_mm_relative_kcal_mol,mm_bond_relative_to_component_min_kcal_mol,mm_angle_relative_to_component_min_kcal_mol,mm_dihedral_relative_to_component_min_kcal_mol,mm_imp_relative_to_component_min_kcal_mol,mm_elec_relative_to_component_min_kcal_mol,mm_vdw_relative_to_component_min_kcal_mol,mm_elec_14_relative_to_component_min_kcal_mol,mm_vdw_14_relative_to_component_min_kcal_mol
PHI,150,-1477.9220778470838,d015dd2ae5762e079aa2,results/PHI/candidates/d015dd2ae5762e079aa2/final.xyz,-927410.1056828105,2.97334973434016,21.7296709170911,77.09128002158275,0.0,-48.13256444604427,4.38284210076338,14.163939139540485,15.42287185888886,87.63138932616246,13.569233322516084,18.82868633639397,-5.259453013877888,0.21695801186985486,8.272256149255885,3.174395543027316,0.0,4.146574469288943,5.07740830837619,0.7151529202245328,2.0332877867554604
PHI,165,-1477.9242383498352,a41eb9dd4b8c73f9a42e,results/PHI/candidates/a41eb9dd4b8c73f9a42e/final.xyz,-927411.4614187556,3.0256800094860132,18.47956636795901,76.94763156846481,0.0,-47.74695965724615,4.770798791003043,13.626965114953556,14.786641413771875,83.89032360839215,12.21349737746641,15.08762061862366,-2.8741232411572497,0.26928828701570806,5.022151600123795,3.030747089909383,0.0,4.532179258087062,5.465364998615852,0.17817889563760403,1.397057341638476
PSI,-105,-1477.8921979615557,6d0fdeef6419e8f0a525,results/PSI/candidates/6d0fdeef6419e8f0a525/final.xyz,-927391.3557715596,8.893927352285036,38.76096706659971,81.10987050360524,0.0,-50.07264218801891,6.128963629594976,16.669859226012544,18.480096768935873,119.97104235901448,32.01174707128666,51.37922308111841,-19.367476009831748,6.178218358264706,25.146728507311956,7.51344113261635,0.0,0.33940431400613136,7.011035514348455,3.05194796429841,5.055336573412468
PSI,-90,-1477.919790954512,739d1637fad647effcb0,results/PSI/candidates/739d1637fad647effcb0/final.xyz,-927408.6706360558,4.848081837428063,25.805564966155625,78.25028451137666,0.0,-49.55114198504255,2.391697172799881,15.893900409519027,15.962097446974507,93.60048435921121,14.696882575168274,25.008665081315144,-10.31178250614687,2.132372843407733,12.191326406867871,4.653855140387776,0.0,0.8609045169824938,3.27376905755336,2.275989147804893,2.5373372514511026
PSI,-75,-1477.936310249713,3b471d0c6b08831843a7,results/PSI/candidates/3b471d0c6b08831843a7/final.xyz,-927419.0366502982,3.3318379710099997,17.614367319086004,75.99317334866976,0.0,-49.138609137754614,-0.21310697059527264,15.16691913541305,14.48910590870263,77.24368757453155,4.3308683327632025,8.651868296635485,-4.320999963872282,0.6161289769896694,4.000128759798249,2.3967439776808703,0.0,1.2734373642704284,0.6689649141582067,1.5490078736989155,1.0643457131792253
PSI,-60,-1477.943211927715,6a869045b88f0718c753,results/PSI/candidates/6a869045b88f0718c753/final.xyz,-927423.3675186309,2.848655499033529,14.024233656570061,74.31778768359186,0.0,-48.881111400076115,-0.8820718847534793,14.576613045430015,13.732779256952806,69.73688585674867,0.0,1.1450665788526067,-1.1450665788526067,0.13294650501319882,0.409995097282307,0.7213583126029732,0.0,1.530935101948927,0.0,0.9587017837158811,0.30801906142940183
PSI,-45,-1477.9428989668718,9ce617b456dca05e750d,results/PSI/candidates/9ce617b456dca05e750d/final.xyz,-927423.1711327368,2.758535311505553,13.614238559287754,73.59642937098889,0.0,-48.76332901399463,-0.25615591592085857,14.20873062001078,13.433370346018577,68.59181927789606,0.19638589408714324,0.0,0.19638589408714324,0.04282631748522281,0.0,0.0,0.0,1.6487174880304138,0.6259159688326208,0.5908193582966454,0.008610150495172775
PSI,-30,-1477.9383068328877,344ccafc6333119c936d,results/PSI/candidates/344ccafc6333119c936d/final.xyz,-927420.2895251559,2.772088108247434,14.639040567067253,74.0873434567154,0.0,-48.809768581588735,0.7702641751177146,14.105025537239786,13.424760195523405,70.98875345832226,3.077993475017138,2.3969341804262,0.6810592945909377,0.05637911422710351,1.024802007779499,0.49091408572651574,0.0,1.6022779204363076,1.6523360598711938,0.4871142755256521,0.0
PSI,-15,-1477.9320963355515,4e33d77d5341624a8965,results/PSI/candidates/4e33d77d5341624a8965/final.xyz,-927416.3923792392,2.7494175657595017,15.71912826286453,75.81144524327674,0.0,-48.87101320528702,1.6216382443167032,14.078772996333377,13.615161602259693,74.72455070952353,6.975139391724952,6.132731431627462,0.8424079600974892,0.03370857173917141,2.1048897035767755,2.21501587228785,0.0,1.5410332967380214,2.5037101290701824,0.4608617346192432,0.1904014067362887
PSI,0,-1477.926618197433,7eb3ae2d64c8782dd1a9,results/PSI/candidates/7eb3ae2d64c8782dd1a9/final.xyz,-927412.95479567,2.7157089940203303,16.46785793229867,78.40732654797952,0.0,-48.76089943982578,2.8495779509151653,13.942419972253152,13.93628478829069,79.55827674593175,10.412722960929386,10.966457468035685,-0.5537345071062987,0.0,2.8536193730109165,4.810897176990636,0.0,1.6511470621992643,3.7316498356686445,0.32450871053901764,0.5115245927672856
