compound_id,smiles,status,failure_category,failure_detail,our_heavy,meeko_heavy,matched_heavy,atoms_match,our_total_charge,meeko_total_charge,total_charge_delta,charge_mad,type_agreement,torsdof_ours,torsdof_meeko,torsdof_delta,rotors_ours,rotors_meeko,rotors_matched,max_coord_delta
05291619-3a2f-45f6-b578-248608ada24b,C=CC(=O)N(C)[C@H]1CCN(c2cc(OC)cc(OC)c2)C1,OK,,,21,21,21,true,0.0003,-0.0010,0.0013,0.0593,1.0000,5,6,1,5,6,4,0.0010
05291619-3a2f-45f6-b578-248608ada24b,C=CC(=O)N(C)[C@H]1CCN(c2cc(OC)cc(OC)c2)C1,OK,,,21,21,21,true,0.0003,-0.0010,0.0013,0.0593,1.0000,5,6,1,5,6,4,0.0010
05291619-3a2f-45f6-b578-248608ada24b,C=CC(=O)N(C)[C@H]1CCN(c2cc(OC)cc(OC)c2)C1,OK,,,21,21,21,true,0.0003,-0.0010,0.0013,0.0593,1.0000,5,6,1,5,6,4,0.0010
053c6973-993d-466d-9376-addff1dae614,CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)c(Cl)c2)CC(C)(C)N1CCO,OK,,,32,32,32,true,0.0002,0.0030,0.0028,0.0357,1.0000,7,8,1,7,8,3,0.0010
055d3889-dd78-4e15-bc88-1f4021d97270,CNCCN1CCC(OCc2cccc(C(F)(F)F)c2)CC1,OK,,,22,22,22,true,-0.0005,0.0010,0.0015,0.0465,1.0000,7,7,0,7,7,4,0.0010
056cc035-8043-4e24-8837-62539be1e854,O=C([C@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0505,1.0000,2,2,0,2,2,1,0.0010
056cc035-8043-4e24-8837-62539be1e854,O=C([C@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0505,1.0000,2,2,0,2,2,1,0.0010
056cc035-8043-4e24-8837-62539be1e854,O=C([C@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0505,1.0000,2,2,0,2,2,1,0.0010
058b5b40-9757-4808-9dd9-9d5b2e7ef628,COc1cc(CO)c(-c2cn3ccc(N4CCCN(S(C)(=O)=O)CC4)cc3n2)cc1Cl,OK,,,31,33,31,false,0.0002,-0.0010,0.0012,0.0442,0.9355,5,6,1,5,12,3,0.0010
061d9df6-6757-4092-9ebc-a95c3eb43b50,CCN(c1cc(Br)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,OK,,,30,30,30,true,-0.0002,-0.0010,0.0008,0.0382,1.0000,6,6,0,6,6,4,0.0010
067943da-5c79-4b64-9ea4-0d48ff7fca49,COc1cc(OC)c(-c2cn3ccc(N4CCC(O)CC4)cc3n2)cc1Cl,OK,,,27,27,27,true,0.0001,0.0010,0.0009,0.0454,1.0000,4,5,1,4,5,4,0.0010
