enzyme,state,seed,mode,vina_score,family,protein_pairs_lt_1p8,protein_pairs_1p8_2p2,sam_min_distance_a,sam_pairs_lt_2,sam_pairs_2_2p5,strain_kcal_mol,burial_reduction_percent,physical_pass
7B,monocation,172904,20,-6.623,8,0,0,3.9461092230195565,0,0,41.365183951069724,56.52793922388794,False
7B,monocation,483271,1,-7.459,1,0,0,3.3501408925595952,0,0,38.375359920111364,61.741207715634516,False
7B,monocation,483271,2,-7.394,1,0,0,3.381925782745683,0,0,35.48115754066848,61.46486459488641,False
7B,monocation,483271,3,-7.343,2,0,0,3.2789280260475375,0,0,40.75832190895027,63.205972723585376,False
7B,monocation,483271,4,-7.335,6,0,0,4.612180937474157,0,0,34.62386316187764,60.902904762378846,False
7B,monocation,483271,5,-7.254,3,0,0,4.295118508260279,0,0,42.22546916612369,59.055149742177306,False
7B,monocation,483271,6,-7.179,3,0,0,3.579808654104295,0,0,35.33541589251254,60.25894703583355,False
7B,monocation,483271,7,-7.107,1,0,0,3.7783420967403156,0,0,24.608603429252085,61.37257691907987,False
7B,monocation,483271,8,-7.068,5,0,0,6.746190184096503,0,0,34.808681648663914,53.598226448288315,False
7B,monocation,483271,9,-7.036,2,0,0,3.6025242539086397,0,0,31.83418745810357,61.67905451289175,False
7B,monocation,483271,10,-7.007,4,0,0,3.8097992073073876,0,0,38.21541001749629,64.13120305469553,False
7B,monocation,483271,11,-6.9,1,0,0,3.488060349248563,0,0,30.639019316504964,59.172548918864784,False
7B,monocation,483271,12,-6.894,10,0,0,10.660418988013557,0,0,27.74666206271239,54.844082149147624,False
7B,monocation,483271,13,-6.864,5,0,0,7.12866474173109,0,0,36.698522080857856,53.669562047201545,False
7B,monocation,483271,14,-6.796,7,0,0,6.274841272892885,0,0,34.73768133542493,51.60254437053367,False
7B,monocation,483271,15,-6.708,16,0,0,3.2967587112192485,0,0,42.548269196251965,58.61724423843373,False
7B,monocation,483271,16,-6.662,12,0,0,3.2779449354740544,0,0,32.59824630884478,57.56119522670159,False
7B,monocation,483271,17,-6.656,13,0,0,8.188029616458406,0,0,25.03175530825711,56.52275121760732,False
7B,monocation,483271,18,-6.637,4,0,0,3.68783052755953,0,0,45.369572555849196,61.343095465762474,False
7B,monocation,483271,19,-6.523,2,0,0,3.3687779683440113,0,0,38.66357687482635,59.441227611098086,False
7B,monocation,483271,20,-6.52,17,0,0,9.286771021189226,0,0,37.25536701398618,52.20992432373152,False
7B,monocation,806519,1,-7.574,1,0,0,3.1837884665913347,0,0,35.05621536056025,62.155896781708456,False
7B,monocation,806519,2,-7.465,2,0,0,3.2726070647115586,0,0,40.81411332803214,62.592009603962325,False
7B,monocation,806519,3,-7.392,6,0,0,4.435949729201178,0,0,34.95867584887974,60.83260181289389,False
7B,monocation,806519,4,-7.341,3,0,0,4.315542376109868,0,0,42.52254175686738,59.068837671759375,False
7B,monocation,806519,5,-7.25,3,0,0,3.5911631820344785,0,0,35.7771786451455,60.97709841551871,False
7B,monocation,806519,6,-7.234,1,0,0,3.7820021152823284,0,0,24.858919453260235,62.05295502935616,False
7B,monocation,806519,7,-7.149,1,0,0,3.3589288471177836,0,0,33.78186408162598,62.215690899670406,False
7B,monocation,806519,8,-7.145,5,0,0,7.966529859355326,0,0,37.442811403083425,53.45596294482681,False
